r[m],sigma_0.05,sigma_0.1,sigma_0.15,sigma_0.2,sigma_0.25
0.5,-0.0,-0.0,-0.0,-0.0,-0.0
0.499,0.008324999999999999,0.008324999999999999,0.008324999999999999,0.008324999999999999,0.008324999999999999
0.498,0.016633333333333316,0.016633333333333316,0.016633333333333316,0.016633333333333316,0.016633333333333316
0.497,0.02492499999999995,0.02492499999999995,0.02492499999999995,0.02492499999999995,0.02492499999999995
0.496,0.03320000000000013,0.03320000000000013,0.03320000000000013,0.03320000000000013,0.03320000000000013
0.495,0.041458333333333396,0.041458333333333396,0.041458333333333396,0.041458333333333396,0.041458333333333396
0.494,0.04969999999999998,0.04969999999999998,0.04969999999999998,0.04969999999999998,0.04969999999999998
0.493,0.05792500000000011,0.05792500000000011,0.05792500000000011,0.05792500000000011,0.05792500000000011
0.492,0.06613333333333332,0.06613333333333332,0.06613333333333332,0.06613333333333332,0.06613333333333332
0.491,0.07432500000000009,0.07432500000000009,0.07432500000000009,0.07432500000000009,0.07432500000000009
0.49,0.08250000000000017,0.08250000000000017,0.08250000000000017,0.08250000000000017,0.08250000000000017
0.489,0.09065833333333334,0.09065833333333334,0.09065833333333334,0.09065833333333334,0.09065833333333334
0.488,0.09880000000000005,0.09880000000000005,0.09880000000000005,0.09880000000000005,0.09880000000000005
0.487,0.10692500000000009,0.10692500000000009,0.10692500000000009,0.10692500000000009,0.10692500000000009
0.486,0.11503333333333343,0.11503333333333343,0.11503333333333343,0.11503333333333343,0.11503333333333343
0.485,0.1231250000000001,0.1231250000000001,0.1231250000000001,0.1231250000000001,0.1231250000000001
0.484,0.13120000000000007,0.13120000000000007,0.13120000000000007,0.13120000000000007,0.13120000000000007
0.483,0.13925833333333337,0.13925833333333337,0.13925833333333337,0.13925833333333337,0.13925833333333337
0.482,0.1473000000000002,0.1473000000000002,0.1473000000000002,0.1473000000000002,0.1473000000000002
0.481,0.15532500000000016,0.15532500000000016,0.15532500000000016,0.15532500000000016,0.15532500000000016
0.48,0.16333333333333339,0.16333333333333339,0.16333333333333339,0.16333333333333339,0.16333333333333339
0.479,0.1713250000000002,0.1713250000000002,0.1713250000000002,0.1713250000000002,0.1713250000000002
0.478,0.17930000000000007,0.17930000000000007,0.17930000000000007,0.17930000000000007,0.17930000000000007
0.477,0.1872583333333335,0.1872583333333335,0.1872583333333335,0.1872583333333335,0.1872583333333335
0.476,0.19520000000000023,0.19520000000000023,0.19520000000000023,0.19520000000000023,0.19520000000000023
0.475,0.20312500000000008,0.20312500000000008,0.20312500000000008,0.20312500000000008,0.20312500000000008
0.474,0.21103333333333346,0.21103333333333346,0.21103333333333346,0.21103333333333346,0.21103333333333346
0.473,0.21892500000000015,0.21892500000000015,0.21892500000000015,0.21892500000000015,0.21892500000000015
0.472,0.22680000000000017,0.22680000000000017,0.22680000000000017,0.22680000000000017,0.22680000000000017
0.471,0.2346583333333335,0.2346583333333335,0.2346583333333335,0.2346583333333335,0.2346583333333335
0.47,0.24250000000000013,0.24250000000000013,0.24250000000000013,0.24250000000000013,0.24250000000000013
0.469,0.25032500000000035,0.25032500000000035,0.25032500000000035,0.25032500000000035,0.25032500000000035
0.46799999999999997,0.2581333333333336,0.2581333333333336,0.2581333333333336,0.2581333333333336,0.2581333333333336
0.46699999999999997,0.2659250000000002,0.2659250000000002,0.2659250000000002,0.2659250000000002,0.2659250000000002
0.46599999999999997,0.27370000000000033,0.27370000000000033,0.27370000000000033,0.27370000000000033,0.27370000000000033
0.46499999999999997,0.2814583333333336,0.2814583333333336,0.2814583333333336,0.2814583333333336,0.2814583333333336
0.46399999999999997,0.28920000000000035,0.28920000000000035,0.28920000000000035,0.28920000000000035,0.28920000000000035
0.46299999999999997,0.2969250000000002,0.2969250000000002,0.2969250000000002,0.2969250000000002,0.2969250000000002
0.46199999999999997,0.30463333333333364,0.30463333333333364,0.30463333333333364,0.30463333333333364,0.30463333333333364
0.46099999999999997,0.31232500000000035,0.31232500000000035,0.31232500000000035,0.31232500000000035,0.31232500000000035
0.45999999999999996,0.3200000000000004,0.3200000000000004,0.3200000000000004,0.3200000000000004,0.3200000000000004
0.45899999999999996,0.32765833333333355,0.32765833333333355,0.32765833333333355,0.32765833333333355,0.32765833333333355
0.45799999999999996,0.3353000000000002,0.3353000000000002,0.3353000000000002,0.3353000000000002,0.3353000000000002
0.45699999999999996,0.3429250000000004,0.3429250000000004,0.3429250000000004,0.3429250000000004,0.3429250000000004
0.45599999999999996,0.35053333333333375,0.35053333333333375,0.35053333333333375,0.35053333333333375,0.35053333333333375
0.45499999999999996,0.35812500000000036,0.35812500000000036,0.35812500000000036,0.35812500000000036,0.35812500000000036
0.45399999999999996,0.3657000000000003,0.3657000000000003,0.3657000000000003,0.3657000000000003,0.3657000000000003
0.45299999999999996,0.3732583333333336,0.3732583333333336,0.3732583333333336,0.3732583333333336,0.3732583333333336
0.45199999999999996,0.38080000000000036,0.38080000000000036,0.38080000000000036,0.38080000000000036,0.38080000000000036
0.45099999999999996,0.38832500000000025,0.38832500000000025,0.38832500000000025,0.38832500000000025,0.38832500000000025
0.44999999999999996,0.3958333333333332,0.3958333333333337,0.3958333333333337,0.3958333333333337,0.3958333333333337
0.44899999999999995,0.3961329999999999,0.4033250000000005,0.4033250000000005,0.4033250000000005,0.4033250000000005
0.44799999999999995,0.3964319999999999,0.41080000000000033,0.41080000000000033,0.41080000000000033,0.41080000000000033
0.44699999999999995,0.39673033333333324,0.41825833333333373,0.41825833333333373,0.41825833333333373,0.41825833333333373
0.44599999999999995,0.3970279999999999,0.4257000000000004,0.4257000000000004,0.4257000000000004,0.4257000000000004
0.44499999999999995,0.3973249999999999,0.4331250000000004,0.4331250000000004,0.4331250000000004,0.4331250000000004
0.44399999999999995,0.39762133333333327,0.4405333333333338,0.4405333333333338,0.4405333333333338,0.4405333333333338
0.44299999999999995,0.3979169999999999,0.44792500000000046,0.44792500000000046,0.44792500000000046,0.44792500000000046
0.44199999999999995,0.3982119999999999,0.4553000000000004,0.4553000000000004,0.4553000000000004,0.4553000000000004
0.44099999999999995,0.3985063333333332,0.4626583333333337,0.4626583333333337,0.4626583333333337,0.4626583333333337
0.43999999999999995,0.3987999999999999,0.4700000000000003,0.4700000000000003,0.4700000000000003,0.4700000000000003
0.43899999999999995,0.39909299999999986,0.47732500000000044,0.47732500000000044,0.47732500000000044,0.47732500000000044
0.43799999999999994,0.3993853333333332,0.4846333333333337,0.4846333333333337,0.4846333333333337,0.4846333333333337
0.43699999999999994,0.3996769999999999,0.4919250000000005,0.4919250000000005,0.4919250000000005,0.4919250000000005
0.43599999999999994,0.3999679999999999,0.49920000000000037,0.49920000000000037,0.49920000000000037,0.49920000000000037
0.43499999999999994,0.40025833333333327,0.5064583333333338,0.5064583333333338,0.5064583333333338,0.5064583333333338
0.43399999999999994,0.4005479999999999,0.5137000000000005,0.5137000000000005,0.5137000000000005,0.5137000000000005
0.43299999999999994,0.4008369999999999,0.5209250000000004,0.5209250000000004,0.5209250000000004,0.5209250000000004
0.43199999999999994,0.4011253333333332,0.5281333333333338,0.5281333333333338,0.5281333333333338,0.5281333333333338
0.43099999999999994,0.4014129999999999,0.5353250000000004,0.5353250000000004,0.5353250000000004,0.5353250000000004
0.42999999999999994,0.4016999999999999,0.5425000000000004,0.5425000000000004,0.5425000000000004,0.5425000000000004
0.42899999999999994,0.4019863333333332,0.5496583333333338,0.5496583333333338,0.5496583333333338,0.5496583333333338
0.42799999999999994,0.4022719999999999,0.5568000000000004,0.5568000000000004,0.5568000000000004,0.5568000000000004
0.42699999999999994,0.4025569999999999,0.5639250000000006,0.5639250000000006,0.5639250000000006,0.5639250000000006
0.42599999999999993,0.4028413333333332,0.5710333333333338,0.5710333333333338,0.5710333333333338,0.5710333333333338
0.42499999999999993,0.4031249999999999,0.5781250000000004,0.5781250000000004,0.5781250000000004,0.5781250000000004
0.42399999999999993,0.4034079999999999,0.5852000000000006,0.5852000000000006,0.5852000000000006,0.5852000000000006
0.42299999999999993,0.40369033333333326,0.5922583333333338,0.5922583333333338,0.5922583333333338,0.5922583333333338
